acceleration,car_name,cylinders,displacement,horsepower,model_year,mpg,origin,weight
12.0,chevrolet chevelle malibu,8,307.0,130.0,70,18.0,1,3504.
11.5,buick skylark 320,8,350.0,165.0,70,15.0,1,3693.
11.0,plymouth satellite,8,318.0,150.0,70,18.0,1,3436.
12.0,amc rebel sst,8,304.0,150.0,70,16.0,1,3433.
10.5,ford torino,8,302.0,140.0,70,17.0,1,3449.
10.0,ford galaxie 500,8,429.0,198.0,70,15.0,1,4341.
9.0,chevrolet impala,8,454.0,220.0,70,14.0,1,4354.
8.5,plymouth fury iii,8,440.0,215.0,70,14.0,1,4312.
10.0,pontiac catalina,8,455.0,225.0,70,14.0,1,4425.
8.5,amc ambassador dpl,8,390.0,190.0,70,15.0,1,3850.
10.0,dodge challenger se,8,383.0,170.0,70,15.0,1,3563.
8.0,plymouth 'cuda 340,8,340.0,160.0,70,14.0,1,3609.
9.5,chevrolet monte carlo,8,400.0,150.0,70,15.0,1,3761.
10.0,buick estate wagon (sw),8,455.0,225.0,70,14.0,1,3086.
15.0,toyota corona mark ii,4,113.0,95.00,70,24.0,3,2372.
15.5,plymouth duster,6,198.0,95.00,70,22.0,1,2833.
15.5,amc hornet,6,199.0,97.00,70,18.0,1,2774.
16.0,ford maverick,6,200.0,85.00,70,21.0,1,2587.
14.5,datsun pl510,4,97.00,88.00,70,27.0,3,2130.
20.5,volkswagen 1131 deluxe sedan,4,97.00,46.00,70,26.0,2,1835.
17.5,peugeot 504,4,110.0,87.00,70,25.0,2,2672.
14.5,audi 100 ls,4,107.0,90.00,70,24.0,2,2430.
17.5,saab 99e,4,104.0,95.00,70,25.0,2,2375.
12.5,bmw 2002,4,121.0,113.0,70,26.0,2,2234.
15.0,amc gremlin,6,199.0,90.00,70,21.0,1,2648.
14.0,ford f250,8,360.0,215.0,70,10.0,1,4615.
15.0,chevy c20,8,307.0,200.0,70,10.0,1,4376.
13.5,dodge d200,8,318.0,210.0,70,11.0,1,4382.
18.5,hi 1200d,8,304.0,193.0,70,9.0,1,4732.
14.5,datsun pl510,4,97.00,88.00,71,27.0,3,2130.
15.5,chevrolet vega 2300,4,140.0,90.00,71,28.0,1,2264.
14.0,toyota corona,4,113.0,95.00,71,25.0,3,2228.
19.0,ford pinto,4,98.00,,71,25.0,1,2046.
13.0,amc gremlin,6,232.0,100.0,71,19.0,1,2634.
15.5,plymouth satellite custom,6,225.0,105.0,71,16.0,1,3439.
15.5,chevrolet chevelle malibu,6,250.0,100.0,71,17.0,1,3329.
15.5,ford torino 500,6,250.0,88.00,71,19.0,1,3302.
15.5,amc matador,6,232.0,100.0,71,18.0,1,3288.
12.0,chevrolet impala,8,350.0,165.0,71,14.0,1,4209.
11.5,pontiac catalina brougham,8,400.0,175.0,71,14.0,1,4464.
13.5,ford galaxie 500,8,351.0,153.0,71,14.0,1,4154.
13.0,plymouth fury iii,8,318.0,150.0,71,14.0,1,4096.
11.5,dodge monaco (sw),8,383.0,180.0,71,12.0,1,4955.
12.0,ford country squire (sw),8,400.0,170.0,71,13.0,1,4746.
12.0,pontiac safari (sw),8,400.0,175.0,71,13.0,1,5140.
13.5,amc hornet sportabout (sw),6,258.0,110.0,71,18.0,1,2962.
19.0,chevrolet vega (sw),4,140.0,72.00,71,22.0,1,2408.
15.0,pontiac firebird,6,250.0,100.0,71,19.0,1,3282.
14.5,ford mustang,6,250.0,88.00,71,18.0,1,3139.
14.0,mercury capri 2000,4,122.0,86.00,71,23.0,1,2220.
14.0,opel 1900,4,116.0,90.00,71,28.0,2,2123.
19.5,peugeot 304,4,79.00,70.00,71,30.0,2,2074.
14.5,fiat 124b,4,88.00,76.00,71,30.0,2,2065.
19.0,toyota corolla 1200,4,71.00,65.00,71,31.0,3,1773.
18.0,datsun 1200,4,72.00,69.00,71,35.0,3,1613.
19.0,volkswagen model 111,4,97.00,60.00,71,27.0,2,1834.
20.5,plymouth cricket,4,91.00,70.00,71,26.0,1,1955.
15.5,toyota corona hardtop,4,113.0,95.00,72,24.0,3,2278.
17.0,dodge colt hardtop,4,97.50,80.00,72,25.0,1,2126.
23.5,volkswagen type 3,4,97.00,54.00,72,23.0,2,2254.
19.5,chevrolet vega,4,140.0,90.00,72,20.0,1,2408.
16.5,ford pinto runabout,4,122.0,86.00,72,21.0,1,2226.
12.0,chevrolet impala,8,350.0,165.0,72,13.0,1,4274.
12.0,pontiac catalina,8,400.0,175.0,72,14.0,1,4385.
13.5,plymouth fury iii,8,318.0,150.0,72,15.0,1,4135.
13.0,ford galaxie 500,8,351.0,153.0,72,14.0,1,4129.
11.5,amc ambassador sst,8,304.0,150.0,72,17.0,1,3672.
11.0,mercury marquis,8,429.0,208.0,72,11.0,1,4633.
13.5,buick lesabre custom,8,350.0,155.0,72,13.0,1,4502.
13.5,oldsmobile delta 88 royale,8,350.0,160.0,72,12.0,1,4456.
12.5,chrysler newport royal,8,400.0,190.0,72,13.0,1,4422.
13.5,mazda rx2 coupe,3,70.00,97.00,72,19.0,3,2330.
12.5,amc matador (sw),8,304.0,150.0,72,15.0,1,3892.
14.0,chevrolet chevelle concours (sw),8,307.0,130.0,72,13.0,1,4098.
16.0,ford gran torino (sw),8,302.0,140.0,72,13.0,1,4294.
14.0,plymouth satellite custom (sw),8,318.0,150.0,72,14.0,1,4077.
14.5,volvo 145e (sw),4,121.0,112.0,72,18.0,2,2933.
18.0,volkswagen 411 (sw),4,121.0,76.00,72,22.0,2,2511.
19.5,peugeot 504 (sw),4,120.0,87.00,72,21.0,2,2979.
18.0,renault 12 (sw),4,96.00,69.00,72,26.0,2,2189.
16.0,ford pinto (sw),4,122.0,86.00,72,22.0,1,2395.
17.0,datsun 510 (sw),4,97.00,92.00,72,28.0,3,2288.
14.5,toyouta corona mark ii (sw),4,120.0,97.00,72,23.0,3,2506.
15.0,dodge colt (sw),4,98.00,80.00,72,28.0,1,2164.
16.5,toyota corolla 1600 (sw),4,97.00,88.00,72,27.0,3,2100.
13.0,buick century 350,8,350.0,175.0,73,13.0,1,4100.
11.5,amc matador,8,304.0,150.0,73,14.0,1,3672.
13.0,chevrolet malibu,8,350.0,145.0,73,13.0,1,3988.
14.5,ford gran torino,8,302.0,137.0,73,14.0,1,4042.
12.5,dodge coronet custom,8,318.0,150.0,73,15.0,1,3777.
11.5,mercury marquis brougham,8,429.0,198.0,73,12.0,1,4952.
12.0,chevrolet caprice classic,8,400.0,150.0,73,13.0,1,4464.
13.0,ford ltd,8,351.0,158.0,73,13.0,1,4363.
14.5,plymouth fury gran sedan,8,318.0,150.0,73,14.0,1,4237.
11.0,chrysler new yorker brougham,8,440.0,215.0,73,13.0,1,4735.
11.0,buick electra 225 custom,8,455.0,225.0,73,12.0,1,4951.
11.0,amc ambassador brougham,8,360.0,175.0,73,13.0,1,3821.
16.5,plymouth valiant,6,225.0,105.0,73,18.0,1,3121.
18.0,chevrolet nova custom,6,250.0,100.0,73,16.0,1,3278.
16.0,amc hornet,6,232.0,100.0,73,18.0,1,2945.
16.5,ford maverick,6,250.0,88.00,73,18.0,1,3021.
16.0,plymouth duster,6,198.0,95.00,73,23.0,1,2904.
21.0,volkswagen super beetle,4,97.00,46.00,73,26.0,2,1950.
